text,label
"apple, dünyanın en güvenli masaüstü işletim sistemi dediği macos'in, kendi ihmalkarlığı sonucu kripto coin madenciliği ile çalkalanmasına neden oldu. mac app store'da yer alan calendar 2 isimli uygulamanın, monero madenciliği yaptığı ortaya çıktı.",0
"yüzüne bakınca ayna gibi arkası görünüyor, bu kadar körsen yapacak bir şey yoktur zaten...",1
"gündüzleri pozitif, geceleri ise negatif düşünüyorum. neden böyle ?",0
ozalite bobregimi versem daha iyiydi iki senede bobrek parasi verdim,0
"kesinlikle gereksiz yere kavga etmek yerine birbirimizi desteklemek, onu da geçtim en azından saygı duysak bile yeterli ama bunu bile anlamayan ve yapamayan insanlar var malesef...",0
"müzeyyen hanım erik nisan ayı gibi yani ilkbaharda çıkar, yazın mor erik çıkar, sonbaharın başında kalkar, kış ayında da pahalı olur ama yine çıkar. yanılıyorsunuz efenim. üzülerek belirtmeliyim ki zamanda kaydırma yapmışsınız.",0
hazır müsaitken bir kaç iyi şey gelsin başıma artık,0
instagram açmayacağım amına koduklarım inat değil mi açmıyorum işte ne kadar karı kız düştüğü ya da ne yarrak yediğiniz umrumda değil hayatım buna bağlı olsa dahi o platforma kayıt olmuyorum aaaaaaaaaaaaa,1
"yorumlara bakıyorum bir kadın çıkıp siz ne diyorsunuz dememiş,kadınları bu kadar alçaltıp islam adına konuştuğunu sanmak ne büyük gaflet .allah adaletsiz’mi haşa.bir dininiz var o din islam değil emin olun",1
bizim evde tv olmadığı zamanlar duygulandım..,0
"bir kitapta okumuştum “istediğin kadar taşı sula,taş büyümez”.bu cümle senden vazgeçme eşiğim oldu.",0
git de allah aşkına bir selama muhtaç et.,0
özgüven ve cesarette ilk 10 a girer ama,0
hiç biriniz beni anlamayacaksınız. çünkü sizin yaşamak istediğiniz bir hayat vardı ve onu seçtiniz.,0
"kıymetli ece hanım!!.15temmuz kontrollü darbesi ve 20temmuz aşikar sivil darbesi..akp'nin dömino taşıdır!!!mevzu bir çözülürse..akp diye bir şey kalmaz ortada!!!herkesin ıskaladığı bir konu da,katledilen ankara'daki polisler!!!oraya,daha önce bomba yerleştirildiği bilgisi var!!!.",0
feyenoord ligin en çok gol yiyen takımı cambuur un atamaması bence sadece şansızlık olur.,0
hakikaten bu adam ( sözde) nasıl büyük elçi olmuş merak ediyorum,1
iranlı hocaya ‘varlık içinde yokluk çekmek’ deyimini öğrettim bugün yaptığım en yararlı şey bu sanırım,0
kaldı ki fenerbahçe'nin rekabet ettiği takım galatasaray'dır ama galatasaray'ın rekabet ettiği fenerbahçe değildir. 2 kulübün misyonu da vizyonu birbirinden çok farklıdır. örneğin; türkiye ligi bizim için araç onlar için amaçtır.,0
yan bahçeye bir kulübe yapıp taşınmak istiyorum :')),0
ali bey 6ocak egm ihracını.ogunden bugüne kadar herhangi bir işlem gecirmedim. bu iyi mi kötü mü bilmiyorum. bizim bu durumumuza ilgili bir gelişme varmi. bilgi verirseniz çok sevinirim.,0
neyse size bir şey söyleyeceğim benim için önemli sinirlendim şurda biraz sinirimi atayım,0
senin yine iyi benim kardeşim makyaj temizleme suyu az kaldı diye yarısına kadar su doldurmuş,0
"ben yutamadigi icin asla bir kutu antibiyotik bitiremeyen bir insanim, kesinlikle katiliyorum size",0
anlamadım bu gerçek resmimi yoksa ortaokul resmimi bu ise valla hakketmişler...çocuk istismar etmiş kısacası...,0
bu aralar evde süs eşyasından farkım yok ‍,0
sen anca bizim ahırda ki ineklerin pokunu yersin atma ke-maaaaal atma,1
16 nisanda niye bagirmadin hirsizz var diye goz gore gore caldilar simdi bagiriyorsun olmadi sayin ozkan,1
çomar arkadaşlarını da şikayet ettin mi bari. zaten devlet işi gücü bırakmış senin gibi tetikçi trollerin keyfine bakıyor sadece.,1
umarım gaydır allahın verdiği gözü niye bozmak istiyon malmın,1
"devlet farklı sesleri ""günah"" olduğundan, dinen doğru olmadığından değil, ""düzen bozucu"" olduğu için sindirmiştir, aslolan çünkü, ""düzenin"" kendisidir.",0
caner erkin için iki yıl hapis isteniyormuş. bu ülkede kıza köpeğe kediye tecavüz edip ceza almayanlar var ! caner erkin ne yaptı ?,0
"bir insan götse göttür , iyi yönünden bakmaya lüzum yoktur. ..",1
haftada bir gün 3-4 saatliğine gelmek yetiyorken iki gün bir gece konaklama çok fazla gerçekten,0
söylediğin şarkı hört so guyid amk depresiki,1
"sosyal medyada 300k'lık gösterişli kalpli balonlu dış çekimli çift hesaplarına retinam seğirerek tepki veriyo, canım retinam mortingen stryze.",0
reis noktaladı konuyu helal olsun,0
en yakın kankalarım yaza söz nişan yapıyor çeyiz düzmeye başladılar acilen kilo vermem lazım ne giycem düğünde,0
kimseye nefretimiz yok ama üzülmedikte ben herhangi bir kazada ölsem o insanların ne kadar umurunda olacaksa benimde o kadar umurumda. daha bugün otobüste 11 kişi yanarak öldü bu kadar olay olmadı sanırım jet ile kaza yapmadıkları için.,0
teşekkürler..sana da olsun..birazdan..,0
"güzel kelimeler kuramıyorsan,güzel bak, o' bakışlar şiirlerin anlatamadığını anlatır.denemelisin..",0
sinir sistemim kadar zayıf olsam yeter...,0
iyi bir kitap insana can veran kandır.,0
kunkun un ne kadar zor şeyler yaşadığını yeni öğrendim. şu an süren mahkeme umarım ilk 9 a girip o grupta yer almasına engel olmaz,0
bunu yapan şerefsiz puşt kimse yakalanıp şiddetle cezalandırılmalıdır!,1
güzel eğlenceli bol kahkahalı bir geceniz olsun....iyi akşamlar,0
belki hitler değilim ama kaypak çıkarcı insanları bir şoşe dizip kocaman bi çoban ateşinde yakma imkanım olsa 2sn düşünmem,1
aslında çözük havalandırılmak kuralcı kirlihanım peyniri sözsüz,0
"aynen öyle,ama akışa düşünce de sinir oluyorum",0
halil abi neden tiyatroyu değil müziği seçtin?,0
"zaman gerçekten çare olsaydı onu saatçiler değil, eczacılar satardı.",0
adverb of frequency yani always her zaman auxiliary verb yani have den sonra gelir kardeşim o yüzden ı have always been doğrusu. şimdi gidip başka sorgulayacak şeyler bul bye.,0
"fransa’nın nice şehrinde süregelen sürgün hayatı hanedan için ciddi ekonomik sıkıntılarla ilerliyordu. bu vaziyet hanedan erkeklerini şoförlük yapmaya, kadınlarını ise bulaşıkçılık yapmaya mecbur bırakmıştı. o dönemde güzelliğiyle nam salmış dürrüşehvar sultan’a ise...",0
"kül kadar etkisi olmayan insanların, kendilerini ateş sanması ne garip.",0
2018'de şu yayınlar donmasın di mi artık?,0
"o üzümleri amında ezer, iyice sularını akıtır sonra da yalarım emerim o amı. götünden sikerken elimle beslerim onu, tabii bir süre değil yemeye nefes almaya bile dermanı kalmaz.o saçlarında tutar veririm ağzına, köküne kadar sokar kafasından bastırır boşalırım, meyveye devam eder",1
yarın için öngörünüz nedir bende çıkış yönündeyim,0
"sadece bir kere sarılmak için, kilometrelerce yolu gitmeye değer insanlar var",0
net olmadan adım atarsanız illaki birgün ayağınız burkulur o yüzden zamana dikkat etmek gerekiyor tek telafisi olmayan şey ‘zaman’.,0
"verdiler,sonuçta allah hepsine tokat attı paraları yandı.90%'ı namaz kılıyordu ama tatlı para güzeldi.şimdi ki çiftlik de aynı yolun yolcusu anlamadığım nasıl inanırlar,hiçbirinin şikayete hakkı yok,devlet vermeyin dese bunlar el altından gene verirlerdi,hak ettiler ağlamasınlar",0
souliiiiiii o üçüzler kimler halo yazoyodu ama fan sayfası mı kendi sayfaları mı bakmadım kim onlar kimlerden,0
. . gurur .. kalbin kusuru ___hafızanın duvarlarında 'çentik vardır,0
"(fiyha yufraku küllü emrin hakim emren min indina) o leylei mübarekede mahzı hikmetten sadır her emri muhkem,bizim indimizden bir emir olarak temyiz ve tafsil olunur..(inna künna mürsiline rahmeten min rabbike) alemlere rahmeti kamilei şamile için seni irsal edici olduk.",0
"ıı. abdülhamit'in 1906'da “şahsi vergi” ve “hayvan vergisi” biçiminde iki yeni vergi koyması üzerine anadolu'da vergi ayaklanmaları başladı. kastamonu, erzurum, trabzon, sivas, giresun, kayseri, bitlis'te halk ayaklandı.",0
"geceyi ""başıma neler geldi sana diyemedim"" diyerek bitiriyorum iyi geceler",0
ben de italyada yapıyordum taksiciler burda da eylem falan yaptı sıkıntı çıkardılar ama genelde yabancılar uber yaptığı için hallettik :),0
hem seni hemde anen o güzel götünu sikiyim cnm,1
"mekanı cennet olsun, saygılar sayın avukatımız,iyi günler dilerim",0
sabah sabah iyi güldük. güzel espiriymis.,0
"doğu guta: kafr batna ve hamuriye'ye yerel halkın, bölgedeki militanlara karşı silahlı direnişe geçtiği haberi var. kafr batna'da 5 militan öldürülmüş.",0
18 yaşımdan gün aldım ve seçim olacak görev almak istiyorum dedim aldım oturdum sandık başına ve hiç bırakmadım bu da bir vatan görevi idi şimdi ne oldu artık oy vermeye sandığa gitmeye gerek kalmadı...herkesin evinden zarfları toplasınlar..,0
biletler paso sitesine konsun alabilen alsin.gecen bjk deplasmanı icin gunlerce nette bekledim.1 bilet alabilmek icin.biletler satisa cikmadan ultraslana verildi.bu sfer nolur aynisini yapmayin yine.bizde bilet almak istiyoruz.buna bir cozum bulun artik.,0
panik yapan birine panik yapma denildiğinde panik yapan panik yapmayı bırakmıyor,0
bitecek ve yine güzel mimiklerini izlicem canımın içi,0
"çok teşekkür ederim , hep birlikte güzel günlere",0
"""lütfen, üzme. üzüldüğümde binbir parçaya bölünüyorum. ve kendimi toparlamaya çalışırken daha fazla kanatmaktan başka hiçbir şey yapamıyorum.""",0
"kim olduğunu bilmesem, burs arayan lise öğrencisi derim.",0
eşinin güzel götünü yalamak ıstıyorummm,1
benim yazmamı beklemeyene nasıl yazayım ki..,0
lan stephen hawkings zaten ölmemiş miydi amk,1
bugün günlerden ogün olduğuna göre dün günlerden ne idi???,0
pirikaptan ve da takılı kaldığımız için cıstaraa diyemiyoruz. snkrn 2.50 akguv 5.70 mıpaz 2.00 ınfo 1.45 (aylar önce) maliyetli.maliyet düşürmek uygunmu bunlarda yada kaçtan alıp düşürebiliriz?,0
yalancilik sizin mayanizda var markasi ne nerden çıkmış sevkiyati kim yapmış camur at camur tutmazsa izi kalir yuh,1
avşar ona papuç bırakmaz bence sırf biri yüzünden diziyi de bitirecek değil hepsi bizden daha iyi biliyor reytingi kimin getirdiğini diziden çıkmak isteyeni çıkartır başrollerle devam eder yeni bi kurgu bulur giden kişiyede bence,0
yani nuri yok mu diyo bu kürt,1
bu nasıl bir terbiyesizliktir lan böyle?,1
sn fakibaba dpb bekleyen talebinizin durumunu merak edip takip ediyormusunuz aylardır atanmak için bekliyoruz,0
kürtler vicdanlı ve inançlı insanlardır camii yakmaz. alllah’a kitaba küfür etmez. ermeni yahudi ingiliz’e hizmet etmez. zamanı geldiğinde kürt maskesi takmış pkk piçlerinden hesabınıda sorar.,1
araba alman gerektiğine ilk defa karar alıyorum hadi inş.,0
hastalarının beklediği ilaç için bir gelişme var mı? binlerce insan sizden gelecek bir müjde bekliyor.,0
cem yılmaz ı dinlerken bile bu kadar gülmüyorum/üzülmüyorum... bizim çocuklar da gündoğdu marşı dinlerken koşuyorlar :)),0
bıg hıt param yok aq param yok. arkadan çalacağım sana şimdi whıparam param param diye. yeter artık.,1
brezilya’dan gelen alex’in bana gelemeyen sen ..,0
"bütün partiler ittifaka girmek zorunda mı? 4,000,000 oy alamıyan parti meclise giremezken 100,000 oy alanın girmesine onay vermek için nasıl bir gözlük kullanıyor olmak lazım. neyse, hadi esenlikler dilerim.",0
bu gidişle süper lig'te ligin sonunda kimse 70 puanı göremeyecek.,0
bu gün hiç tweet atasınız yok değil mi bende öyleyim çünkü..,0
"cefakarından, terbiyesizinden, vurdumduymazından, bir öyle bir böyle olanından bıktım. bıktırdınız!",0
hawking ölüyor yurdumun insanı onun karşılaşacağı suallere kafa yoruyor. ve bunlar cennete gideceğini sanan güruh,1
en güzel şehirde hemde helal olsun rojhat bey,0
götürsene o kırık kaleye sürpriz yaptım dersin,0
peki instagramdan neden gifi kaldırdınız sayın aminakoydugum?,1
"""çiftlik bank'ta"" sahibi olan tosuncuk sadece bir kukladır ....",1
"bıraktığım yok, yaklaştığını görmek istiyorum o kadar.",0
boran'a o kadar üzüldüm ki miray'ın en son çıkan haberini soruyorlar neyin doğruluk payı ben bilmiyorum ki benimle ilgili olanı mı soruyorsunuz diyor. çocuk neye uğradığını şaşırmış. gülümsediğine bakmayın eminim boran içinden lanet ediyordur.,0
gülümseten insanların yalnız bir hüznü vardır.. derinlerde ve habersiz..,0
"oğuzhan özyakup anlatıyor: “vida cezalı, pepe tosic sakatlanmış, necip'e dedim stoper oynayacaksın. eyvah ozzy yine paçalardan akacak dedi",1
ne sağın belli ne solun her şeyin apayrı iki lafından birisi hep olaylı çekilecek gibi değilsin aşk bitiyor,0
neden koca yüreğini gözlerinde taşıyorsun....,0
neye sahip olursan ol sevgi dolu bir yüreğe sahip değilsen hiç bir şeye sahip değilsindir... dilek,0
bir defa aldatan kişiyi affedersenseni yine kullanır cunku ihanet bir ruh hali degilkarakterin dökuluş bicimidir,0
ben direk ağzını yüzünü kırasın geliyor :),1
yok sadece çay içiyor olamazlar olsa olsa dünyayı yok etme planları yapıyorlardır çünkü başka dertleri yok??,0
emoji gibi çocuk yemin ediyorum,1
işinize gelen şekilde yorum yapmayın kardeşim benim objektif oluyorsan zerresine kadar ol,0
merhaba sevgi kerem mugla tek erkek uyarmı,0
bunlar bizim için bir tecrübe.senete daha iyi yere geliriz.ilk 8 e gireriz,0
"ömrünü doğruluk, samimiyet ve bereketle inşa eden kullardan olmak ümidiyle,",0
istiklal marşımıza dokunuluyor ey mhp yönetimi ? sırf meclis’e gireceğiz 3-5 kadro kapacağız diye buna sessiz mi kalıyorsunuz ? bu kadar düşmeyin ne olur düşmeyin ...,0
çok doğru bende hilmuru çok seviyorum hilmur fandomu da çok seviyorum gerçekten de 5 yıldır tek değişmeyen kitleyiz aileyiz,0
ciftlik bank maduru olsam kendimi daga tasa vurmuş tenhada kendi kendime konusup arada tokat atip elimi pantalonuma sokup tombala cekerek yerlerde debelenirken şarkı soyluyo olurdum simdi. boyle delirmek yakısir bu surreal olaya.,1
"suyu hep rakı bardağında içip yemeklerde de mutlaka bir miktar buz yiyin. çünkü ""iş güvenliği"" bunu gerektirir.",0
sucuklu yumurta ve birayla kahvaltı aq çok sağlıklı besleniyoruz,1
bakara suresinin kaçıncı ayeti böyle diyor bu adamları kötülemek için dini kötülemeyin,0
"insanlar komik,onları anlaman için yeter mimik..*",0
cenk varsa 11de maçı izliyoruz yoksa izlemiyoruz,0
en az 3 gün dilime takılır bu ..,0
sn hala gıda mühendisi olmayan denetim birimleri var. güvenilir gıda tüketimi nasıl sağlanacak peki?,0
keşke finansal köle kankim olsaydı..,0
"amin inşallah, allah razı olsun.",0
"ülkenin yarısının ismi george, tabii ki buraya georgia diyecekler",0
peki neden o zaman bize iyilik yapıldığında teşekkürlere boğuyoruz .bence sorun burda .bizede yapıldı ve bitti.fazla abartmamak lazım galiba..,0
bu fotoları nerden buluosunuz tüm yarışmacıların varmı,0
ay yarına kaldı bakalım neler göreceğiz yarın anlatacak zehra ben ikna ettim diye,0
çiftlik bank vs işte hepsi aziz nesin’in kitabında var,0
artık şu liseden mezun olmak istiyorum,0
bu gunlerde ortulu odenek gıbı harcıyorum babam hesap soramıyo adı ustunde ortulu odenek ahahahah,0
mantık varken kalbine uyan gerizekalıdır mesela ben,0
"biraz geç oldu ama geçmiş olsun, tez şifa bulasınız inşallah.",0
he bir de hep misafir çocuklar gelince saklardım kclclfkflkfkfkckckck,0
siz içeri giremeyin diye kilitlenmiş kapıları açmak için yanınıza çilingirci getirdiğiniz için kaybettiniz sizden iflah olmaz,1
reis atadınız da bir bakın hangi resmi yazı ile görevi aldı yanlış mı okudu biz mi yanlış biliyoruz gth bakanı mı turizm bakanı mı ? ve da bekleyen alımı onaylatın artık faruk çelik'i özler olduk bvvc,0
sanmıyorum göreceğini abisiyle bozuldu arası annesiyle de bozulursa iyice karışır ortalık başkası görebilir ama,0
sevgi kesmez sevgi kanatmaz sevgi hayat almaz sevgi hayat verir parlayanyıldız ulaştunaastepe,0
hahahhahahahhahahahah valla bence güzel bir fantastik komedi,0
peki ya uğruna yakıp yıktıklarım ?,0
ben senin yüzüne bakarak bana yalan söylemeni izledim ve sustum sadece en çokta bu koydu,0
öf oda arkadaşım tam bir idealistken ben kolpa pislik amacı olmayan insanın tekiyim. who god!,1
"beni sevdiğinden emin olmadığım kimseye açıklama borçlu değilim, bana karşı iyi niyetinden emin olmadığım kimseyi muhatap dahi almıyorum. benim dünyam sevgiyle dönüyor sizinki istediği gibi dönsün.",0
mükemmel dolgun bir göt tam kucaga göre,1
hahahahahah kısık ses ve ağır bir konuşmayla “ananı sikeyim o dakikada gol yenir ” hahahaahaahahh,1
kampüse mng girmediğini unutup morhipo dan alışveriş yaptım -üzgün hissediyor,0
canım çok keyifli bir gündü,0
bir insana mutluluk bu kadar haram olmamalı...,0
verdiği öğütlerden sonra bak bu laflarımi unutma beni hatırla kızım diyen babannem her seferinde duygulandırmayi nasıl beceriyosun,0
merkez: değeri türkiye sınır değerinin 2 kat üzerinde ve sağlıksız.,0
eğer sana kavuşucaksam sonuna kadar bekliyeceğim,0
"en güzel disiplin, eğitim, en güzel dayak, sevgi, en güzel sevinç, ağlamak, en güzel üzüntü, gülmek, en güzel yol, dikenlidir.",0
her yaşın ayrı bir kafa karışıklığı var.,0
pufffff işe bak . bırak anlaşma bunlarla şerefsizler.,1
iyi akşamlar garry rodrigesin zaman zaman sağ tarafta oynaması gomisi daha aktif gol yollarına girmesini ve etkinliğini artırırmı!!,0
"“uçurumlar var diyorum, insanla insan arasında, kendiyle kendi arasında.”",0
"""banu ile lezzet durakları"". sana yerel bi tv kanalı bulalım. hem gez hem program yap. senle tutar bak bu... sarma, leblebi, künefe, sabah kahvaltıları filan derken gidişat o istikamette zaten.",0
"bu akşam bir arkadaşa çiftlik bank olayını anlattım. ""salaklar"" ya da ""gerizekalılar"" demeden anlatmak çok zormuş gerçekten",1
bu mevsimde hasta olanlar dışarıda ince giyinenler falan ben ise evdeyken pencereyi açtım diye üşüttüm resmen keriz hastalığı,1
ali bey dm ye gelin,0
kaldırıyorum be tamam uff cjsmndmfmgg,0
bi türlü öğrenemediğim için belalım oldu kendisi ama iyi ki var ne diyebilirim ki olmasaydı olmazdık.......................,0
uykum var gibi gibi ama uyursam uyanamam o yüzden yaşasın kahveler yaşasın filmler siz geberin,1
controllerla nişan almayı beğendiğim gün playstation ı satacam,0
çıkıyor ya oha gerçekten mi falan oluyorum,0
milletimizin başı sağolsun şehidimizin mekanı cennet olsun inşallah,0
günaydın candostum huzurla geçsin gününüz hayırlı cumalar kendinize iyi bakın sevgi ve selamlarımla.,0
“eyvah bu bâzîçede bizler yine yandık; zîra ki ziyan ortada bilmem ne kazandık!”,0
iyot gibi açıkta kalırsın tam fil hikayesi olur.. tr de bağımsız cb adayına sadece iyi niyetliler oy verir.. ve maalesef iyi niyetliler çok az.. çok çok az.... particilik her yerde....,1
geceden kalma bir hüzün hüzünden sağma bir yüzün elin yüzün iki gözün özün duru soru bunların hangisi doğru,0
